latitude,longitude,timestamp
34.02723387818227,131.18761790928542,2020-06-16 03:44:18 +0000
34.02724687013219,131.1876471621275,2020-06-16 03:44:19 +0000
34.02725780851583,131.18767876190245,2020-06-16 03:44:20 +0000
34.02726740579496,131.18771363061964,2020-06-16 03:44:21 +0000
34.02727327312718,131.18774598476588,2020-06-16 03:44:22 +0000
34.027278679454724,131.1877790932834,2020-06-16 03:44:23 +0000
34.02728538497726,131.18781404581964,2020-06-16 03:44:24 +0000
34.027293557332854,131.1878451426804,2020-06-16 03:44:25 +0000
34.027302358331184,131.18787464697957,2020-06-16 03:44:26 +0000
34.027310446867745,131.18790398364067,2020-06-16 03:44:27 +0000
34.027317110480766,131.18793440994918,2020-06-16 03:44:28 +0000
34.02732607911716,131.18796626118123,2020-06-16 03:44:29 +0000
34.02733353901098,131.18800230336487,2020-06-16 03:44:30 +0000
34.02734032835255,131.18803985429108,2020-06-16 03:44:31 +0000
34.027346153775255,131.18808017124533,2020-06-16 03:44:32 +0000
34.027352943116824,131.18811721925735,2020-06-16 03:44:33 +0000
34.0273618698437,131.18814395752847,2020-06-16 03:44:34 +0000
34.02737414933185,131.18816139188706,2020-06-16 03:44:35 +0000
34.02739003303836,131.1881839392066,2020-06-16 03:44:36 +0000
34.02740583292584,131.18821017456352,2020-06-16 03:44:37 +0000
34.02741689703802,131.18823775102496,2020-06-16 03:44:38 +0000
34.0274258237649,131.18827731360793,2020-06-16 03:44:39 +0000
34.02743395421098,131.18831888784766,2020-06-16 03:44:40 +0000
34.02743764224837,131.1883570255071,2020-06-16 03:44:41 +0000
34.027441456014316,131.18839583371877,2020-06-16 03:44:42 +0000
34.027447742441694,131.18843992252945,2020-06-16 03:44:43 +0000
34.027453693592946,131.1884865259111,2020-06-16 03:44:44 +0000
34.02745771690647,131.18853170436918,2020-06-16 03:44:45 +0000
34.027459980020325,131.18857017730474,2020-06-16 03:44:46 +0000
34.02746303941498,131.18860219617486,2020-06-16 03:44:47 +0000
34.027467859009306,131.18863119755983,2020-06-16 03:44:48 +0000
34.027475863726835,131.18865525362193,2020-06-16 03:44:49 +0000
34.02748458090613,131.18867889058887,2020-06-16 03:44:50 +0000
34.027493968637685,131.18870068353712,2020-06-16 03:44:51 +0000
34.02750373355488,131.1887220573902,2020-06-16 03:44:52 +0000
34.02751274410079,131.18874192250072,2020-06-16 03:44:53 +0000
34.02752263474653,131.18876321253478,2020-06-16 03:44:54 +0000
34.027532106297116,131.1887846702069,2020-06-16 03:44:55 +0000
34.027541410209636,131.18880537350773,2020-06-16 03:44:56 +0000
34.0275510913078,131.1888240651518,2020-06-16 03:44:57 +0000
34.027561149591605,131.18884778593778,2020-06-16 03:44:58 +0000
34.02757192033718,131.1888779607892,2020-06-16 03:44:59 +0000
34.02758114043067,131.18891081784963,2020-06-16 03:45:00 +0000
34.027587049672405,131.18894862023294,2020-06-16 03:45:01 +0000
34.02759094725738,131.18898726080656,2020-06-16 03:45:02 +0000
34.02759476102332,131.18902606901824,2020-06-16 03:45:03 +0000
34.0275986586083,131.18906118919253,2020-06-16 03:45:04 +0000
34.027600502626996,131.189099410671,2020-06-16 03:45:05 +0000
34.02759815569411,131.18913939234912,2020-06-16 03:45:06 +0000
34.02759249790947,131.1891766079992,2020-06-16 03:45:07 +0000
34.0275857085679,131.18922069680988,2020-06-16 03:45:08 +0000
34.02758445128242,131.18925573316514,2020-06-16 03:45:09 +0000
34.027586840124826,131.18928113033175,2020-06-16 03:45:10 +0000
34.027593210371236,131.18930879061222,2020-06-16 03:45:11 +0000
34.02760033498893,131.1893402227491,2020-06-16 03:45:12 +0000
34.02760410684536,131.1893721578002,2020-06-16 03:45:13 +0000
34.0276079206113,131.18940291938483,2020-06-16 03:45:14 +0000
34.027615590052704,131.18943309423625,2020-06-16 03:45:15 +0000
34.02762749235521,131.1894585752219,2020-06-16 03:45:16 +0000
34.02763981375287,131.1894837209314,2020-06-16 03:45:17 +0000
34.02765138077925,131.18950911809802,2020-06-16 03:45:18 +0000
34.02765963695387,131.1895344314456,2020-06-16 03:45:19 +0000
34.027665252828996,131.18956133735477,2020-06-16 03:45:20 +0000
34.02767329945604,131.18958975200653,2020-06-16 03:45:21 +0000
34.02768352537791,131.18961707701087,2020-06-16 03:45:22 +0000
34.02769261974285,131.18963560101687,2020-06-16 03:45:23 +0000
34.027700163455705,131.18965026934742,2020-06-16 03:45:24 +0000
34.0277080843542,131.18966862571537,2020-06-16 03:45:25 +0000
34.027716340528826,131.1896893290162,2020-06-16 03:45:26 +0000
34.0277244709749,131.18971346889734,2020-06-16 03:45:27 +0000
34.02773448734919,131.18974205118715,2020-06-16 03:45:28 +0000
34.02774131860028,131.18976484996378,2020-06-16 03:45:29 +0000
34.02774827557991,131.1897881516546,2020-06-16 03:45:30 +0000
34.027756406025986,131.18981665012538,2020-06-16 03:45:31 +0000
34.02776336300562,131.18984456186294,2020-06-16 03:45:32 +0000
34.027770278075735,131.18987289269566,2020-06-16 03:45:33 +0000
34.027772708827655,131.1898997147858,2020-06-16 03:45:34 +0000
34.02777404993216,131.18992511195242,2020-06-16 03:45:35 +0000
34.02777438520829,131.18995143112838,2020-06-16 03:45:36 +0000
34.02777895334552,131.18998303090333,2020-06-16 03:45:37 +0000
34.02778720952014,131.19001287047863,2020-06-16 03:45:38 +0000
34.0277945017759,131.1900411174923,2020-06-16 03:45:39 +0000
34.027803554231326,131.1900654250115,2020-06-16 03:45:40 +0000
34.02781239713917,131.19008721795976,2020-06-16 03:45:41 +0000
